f;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Make sure that this file in encoded in ANSI;;;;;;;;;;;;;;
#The society name;;;;;;;;;;;;;;
blood_staff;The Blood Staff;;;;;;;;;;;;;x
string_blood_staff;blood_staff;;;;;;;;;;;;;x
#Rank up button name;;;;;;;;;;;;;;
request_to_rank_up_within_blood_staff;Request to rank up.;;;;;;;;;;;;;x
request_to_rank_up_within_blood_staff_tt;[GetAltSocietyRankUpTooltip];;;;;;;;;;;;;x
#The society description;;;;;;;;;;;;;;
blood_staff_desc;Mystical heroes, blood mages are high elves adept at controlling magic, blood and life. The Prince received predictions of the future and decided to change the fate of the elves. The high elves began to turn to the darkest parts of magic, abandoning the water and frost spells of the Kirin Tor for the fire and blood of what some people fear to be demonic magic. The most famous and the first of the blood mages was Kael'thas Sunstrider. All hail Kael'thas!;;;;;;;;;;;;;x
#Leader description;;;;;;;;;;;;;;
blood_staff_leader_desc;Grand Blood Magister(Magistrix). Strongest magician. He will destroy the world for Quel'Thalas. The great defender of Quel'Thalas.;;;;;;;;;;;;;x
#Name of the ranks;;;;;;;;;;;;;;
blood_staff_rank_1_female;Disciple;;;;;;;;;;;;;x
blood_staff_rank_2_female;Mage;;;;;;;;;;;;;x
blood_staff_rank_3_female;High Mage;;;;;;;;;;;;;x
blood_staff_rank_4_female;Archmage;;;;;;;;;;;;;x
blood_staff_rank_5_female;Grand  Magistrix;;;;;;;;;;;;;x
blood_staff_rank_1_male;Disciple;;;;;;;;;;;;;x
blood_staff_rank_2_male;Mage;;;;;;;;;;;;;x
blood_staff_rank_3_male;High Mage;;;;;;;;;;;;;x
blood_staff_rank_4_male;Archmage;;;;;;;;;;;;;x
blood_staff_rank_5_male;Grand  Magister;;;;;;;;;;;;;x
#Name of the currency;;;;;;;;;;;;;;
blood_staff_currency;Life Energy;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank1;Has §YLife Energy§! greater or equal to 750 and is at least an Mage.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank2;Has §YLife Energy§! greater or equal to 1000 and is at least an High Mage.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank3;Has §YLife Energy§! greater or equal to 2000 and is at least an Archmage.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank4;Has §YLife Energy§! greater or equal to 3500 and is at least an Grand  Magister.;;;;;;;;;;;;;x
#The localization for the currency gain;;;;;;;;;;;;;;
society_gain_blood_staff_tooltip;Is a Elf: §G+10.0§!;;;;;;;;;x # §G mean green;;;;
# quests;;;;;;;;;;;;;;
quest_blood_staff_induct_child;Induct Descendant;;;;;;;;;;;;;x
quest_blood_staff_induct_child_desc;As the blood of dragons flows through your veins, it follows that your descendants do as well. Choose one from among them and induct them into the society.;;;;;;;;;;;;;x
quest_blood_staff_induct_child_tooltip;To complete this mission you need to §Gright-click§! on the portrait of your target and choose to §YInduct§! them.;;;;;;;;;;;;;x
quest_blood_staff_intrigue_focus;Pick the Intrigue Focus;;;;;;;;;;;;;x
quest_blood_staff_intrigue_focus_desc;While all dragons guard their secrets and treasure vaults carefully, there comes a time when even the most meticulous must focus on staying one step ahead of would-be pursuers. It is time for you to focus on intrigue.;;;;;;;;;;;;;x
quest_blood_staff_intrigue_focus_tooltip;To complete this mission, pick the §Y'Intrigue'§! focus in the Character screen.;;;;;;;;;;;;;x
quest_blood_staff_amass_wealth;Amass Arcane Energy;;;;;;;;;;;;;x
quest_blood_staff_amass_wealth_desc;Nothing matters more to mages than the energy. Power and knowlege is ours way. Do whatever it takes to fill your labaratory with arcane cristals.;;;;;;;;;;;;;x
quest_blood_staff_amass_wealth_tooltip;To complete this mission, amass 500 gold and select §Y'Everything is ready to start the ritual'§! in the Intrigue Menu.;;;;;;;;;;;;;x
quest_blood_staff_become_grand_magister;Become Grand Magister!;;;;;;;;;;;;;x
quest_blood_staff_become_grand_magister_desc;Everything you have been working towards for years has been leading up to this moment. You are at last ready to unleash your true ambitions.;;;;;;;;;;;;;x
quest_blood_staff_become_grand_magister_tooltip;To complete this mission, select §Y'Become Grand Magister!'§! in the Intrigue Menu.;;;;;;;;;;;;;x
quest_blood_staff_become_blood_mage;Become Blood Mage!;;;;;;;;;;;;;x
quest_blood_staff_become_blood_mage_desc;Everything you have been working towards for years has been leading up to this moment. You are at last ready to unleash your true ambitions.;;;;;;;;;;;;;x
quest_blood_staff_become_blood_mage_tooltip;To complete this mission, select §Y'Become Blood Mage!'§! in the Intrigue Menu.;;;;;;;;;;;;;x
quest_blood_staff_avoid_disease;Outlast Disease;;;;;;;;;;;;;x
quest_blood_staff_avoid_disease_desc;Harmless to ordinary humans, a lethal virus is spreading towards your realm. Anybody could be a carrier... only by going into seclusion is there a chance of surviving this invisible killer.;;;;;;;;;;;;;x
quest_blood_staff_avoid_disease_tooltip;To complete this mission, remain in seclusion until [Root.Society.GetName] contact you again.;;;;;;;;;;;;;x
quest_blood_staff_resist_evil;Resist Evil;;;;;;;;;;;;;x
quest_blood_staff_resist_evil_desc;Dragons are persecuted by many as beings of great evil. Why validate these accusations by clinging to moral insanity? You must cleanse your mind so that you will be flawless before [Root.Religion.GetHighGodName].;;;;;;;;;;;;;x
quest_blood_staff_resist_evil_tooltip;To complete this mission, select §Y'Resist Evil'§! in the Intrigue Menu.;;;;;;;;;;;;;x
quest_blood_staff_decipher_secrets;Decipher Secrets;;;;;;;;;;;;;x
quest_blood_staff_decipher_secrets_desc;The history of Dragons is long and storied. Many secrets and powers await those patient enough to study the dusty tomes of old. [Root.Society.GetName] have entrusted you with an encyphered scroll. Decipher its secrets and the knowledge of the ancients will be yours.;;;;;;;;;;;;;x
quest_blood_staff_decipher_secrets_tooltip;To complete this mission you have to carefully study the provided scrolls to reveal new insights.;;;;;;;;;;;;;x
# decisions;;;;;;;;;;;;;;
blood_staff_prolong_life;Prolong Life;;;;;;;;;;;;;x
blood_staff_prolong_life_desc;Absorb nature 's life energy.;;;;;;;;;;;;;x
blood_staff_prolong_life_power_desc;Enables §Gright-clicking§! on character's portrait, in order to rejuvenate, in exchange for §Y[Root.Society.GetCurrency]§!. Chances of side effects scale with mage level.;;;;;;;;;;;;;x
blood_staff_prolong_life_spell_tooltip;Using the magic of blood, you seek an opportunity to add 1 health the organism of someone.\nThis very strong spell to rejuvenate the friends.;;;;;;;;;;;;;x
blood_staff_life_purification_spell;Life Purification;;;;;;;;;;;;;x
blood_staff_life_purification_spell_desc;Cleaning the body with vital energy and blood.;;;;;;;;;;;;;x
blood_staff_life_purification_spell_power_desc;Enables §Gright-clicking§! on character's portrait, in order to purificate, in exchange for §Y[Root.Society.GetCurrency]§!. Chances of side effects scale with mage level.;;;;;;;;;;;;;x
blood_staff_life_purification_spell_tooltip;Using the magic of blood, you seek an opportunity to heal the organism of someone.\nThis very strong spell purificate the health of the friends.;;;;;;;;;;;;;x
blood_staff_jealousy_spell;Spell to fight rivals.;;;;;;;;;;;;;x
blood_staff_jealousy_spell_desc;Using the magic of blood, you seek an opportunity to weaken the organism of the enemy. This very strong curse undermines the health of the rival.;;;;;;;;;;;;;x
blood_staff_jealousy_spell_power_desc;Enables §Gright-clicking§! on character's portrait, in order to gain curse, in exchange for §Y[Root.Society.GetCurrency]§!. Chances of side effects scale with mage level.;;;;;;;;;;;;;x
blood_staff_jealousy_spell_tooltip;Using the magic of blood, you seek an opportunity to weaken the organism of the enemy.\nThis very strong curse undermines the health of the rival.;;;;;;;;;;;;;x
blood_staff_life_purification_spell;Purificate Body;;;;;;;;;;;;;x
blood_staff_life_purification_spell_desc;Cleaning the body with vital energy and blood.;;;;;;;;;;;;;x
blood_staff_prolong_life;Spell to increase lifespawn and health.;;;;;;;;;;;;;x
blood_staff_prolong_life_desc;Using the energy of life obtained from the blood of enemies you prolong life and enhance health.;;;;;;;;;;;;;x
blood_staff_write_magic_theory;Write Magic Theory;;;;;;;;;;;;;x
blood_staff_write_magic_theory_desc;As an experienced blood mage, you can use your knowlege and skills to write a great magic book.;;;;;;;;;;;;;x
blood_staff_artefact_hunt;Search for Magic Artifact;;;;;;;;;;;;;x
blood_staff_artefact_hunt_desc;By poring over ancient tomes you can attempt to uncover a new magic artifact.;;;;;;;;;;;;;x
blood_staff_write_magic_theory_tooltip;Determine the area of magic you wish write to the book.;;;;;;;;;;;;;x
blood_staff_artefact_hunt_tooltip;Determine the degree of effort you wish to devote to the search.\nSuccess varies depending on the amount of §Y[Root.Society.GetCurrency]§! invested.;;;;;;;;;;;;;x
blood_staff_write_magic_theory_power_desc;Determine the area of magic you wish write to the book.;;;;;;;;;;;;;x
blood_staff_artefact_hunt_power_desc;Enables the decision to search for a elf artifact, in exchange for §Y[Root.Society.GetCurrency]§!. Chances of success and failure vary depending on the amount of §Y[Root.Society.GetCurrency]§! invested. Characters of Blood elf culture can discover additional artifacts.;;;;;;;;;;;;;x
blood_staff_magic_fortress;Construct Magic Fortress;;;;;;;;;;;;;x
blood_staff_magic_fortress_desc;Begin construction of magic fortress. It will be the perfect place to store gold and other artifacts...;;;;;;;;;;;;;x
blood_staff_magic_fortress_power_desc;Enables §Gright-clicking§! any Castle holdings you own to increase their gold income for fifty years, in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;;;x
blood_staff_resist_fel;Resist Fel;;;;;;;;;;;;;x
blood_staff_resist_fel_desc;[Root.Society.GetName] pride themselves on mental fortitude, often taking time to resist any fel influences that seek to taint them.;;;;;;;;;;;;;x
blood_staff_resist_fel_tooltip;Go into meditation for a short time to purge your mind of stress and insanity.;;;;;;;;;;;;;x
blood_staff_resist_fel_power_desc;Enables the decision to go into seclusion for a short time to remove negative traits.;;;;;;;;;;;;;x
blood_staff_amass_wealth_complete;Everything is ready to start the ritual;;;;;;;;;;;;;x
blood_staff_amass_wealth_complete_desc;With enough magic your labaratory will be the envy of blood dragons and gods alike.;;;;;;;;;;;;;x
blood_staff_amass_wealth_complete_tooltip;Completes the §Y'Amass Arcane'§! mission.;;;;;;;;;;;;;x
blood_staff_master_of_flame;Unlock Demonic Fire;;;;;;;;;;;;;x
blood_staff_master_of_flame_desc;Your diligent research into demonic secrets allows you to use new magic abilities on the battlefield.;;;;;;;;;;;;;x
blood_staff_master_of_flame_power_desc;Enables §Gright-clicking§! on your character's portrait, in order to gain a special Commander trait, in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;;;x
blood_staff_dragonheart;Unlock Dragonheart;;;;;;;;;;;;;x
blood_staff_dragonheart_desc;Your patient study of draconic secrets allows you to tap into your ancestry for increased endurance.;;;;;;;;;;;;;x
blood_staff_dragonheart_power_desc;Enables §Gright-clicking§! on your character's portrait, in order to gain a powerful character modifier, in exchange for §Y[Root.Society.GetCurrency]§!.;;;;;;;;;;;;;x
blood_staff_become_grand_magister;Become Grand Magister;;;;;;;;;;;;;x
blood_staff_become_grand_magister_desc;Everything you have been working towards for years has been leading up to this moment. You are at last ready to unleash your true ambition.;;;;;;;;;;;;;x
blood_staff_become_grand_magister_tooltip;Become Grand Magister!;;;;;;;;;;;;;x
blood_staff_become_grand_magister_passive;Grand Magister;;;;;;;;;;;;;x
blood_staff_become_grand_magister_passive_power_desc;Upon reaching rank 5, your next mission will allow you to become grand magister.;;;;;;;;;;;;;x
blood_staff_become_blood_mage;Unleash True Ambition;;;;;;;;;;;;;x
blood_staff_become_blood_mage_desc;Everything you have been working towards for years has been leading up to this moment. You are at last ready to unleash your true ambition.;;;;;;;;;;;;;x
blood_staff_become_blood_mage_tooltip;Become Blood Mage!;;;;;;;;;;;;;x
blood_staff_become_blood_mage_passive;Blood Mage;;;;;;;;;;;;;x
blood_staff_become_blood_mage_passive_power_desc;Upon reaching rank 3, your next mission will allow you to become blood mage.;;;;;;;;;;;;;x
blood_staff_magic_tattoo;Put a magic tattoo.;;;;;;;;;;;;;x
blood_staff_magic_tattoo_desc;By following the ancient instructions precisely you can put a special magic tattoo that will empower your mental acuity and abilities. Side effects may vary…;;;;;;;;;;;;;x
blood_staff_magic_tattoo_power_desc;Enables §Gright-clicking§! on your character's portrait, in order to gain Martial, Intrigue, Learning or Fertility, in exchange for §Y[Root.Society.GetCurrency]§!. Chances of side effects scale with Intrigue.;;;;;;;;;;;;;x
blood_staff_magic_tattoo_tooltip;Select a rune and prepare the instruments for putting tattoo.\nChances of side effects scale with Intrigue.;;;;;;;;;;;;;x
blood_staff_culture_convert_county;Enforce Blood Elf Culture;;;;;;;;;;;;;x
blood_staff_culture_convert_county_desc;It is time for [From.Society.GetName] to take land and assert their dominance over this county.;;;;;;;;;;;;;x
blood_staff_culture_convert_county_power_desc;Enables §Gright-clicking§! the title shield of a county to convert the local population to Blood Elf culture.;;;;;;;;;;;;;x
blood_staff_improve_province;Remove Lawless Presence;;;;;;;;;;;;;x
