#CODE;RUSSIAN;;;;;;;;;;;;;x
#Make sure that this file in encoded in ANSI;;;;;;;;;;;;;;
#Название сообщества;;;;;;;;;;;;;;
blood_staff;Кровавый Посох;;;;;;;;;;;;;x
string_blood_staff;blood_staff;;;;;;;;;;;;;x
#Название кнопки повышения уровня;;;;;;;;;;;;;;
request_to_rank_up_within_blood_staff;Запрос на повышение ранга.;;;;;;;;;;;;;x
request_to_rank_up_within_blood_staff_tt;[GetAltSocietyRankUpTooltip];;;;;;;;;;;;;x
#Описание сообщества;;;;;;;;;;;;;;
blood_staff_desc;Мистические герои эльфов, маги крови это эльфы способные контролировать магию, кровь и жизнь. Принц получил предсказания будущего и решил изменить судьбу эльфов. Высшие эльфы отказались от обычной магии и стали использовать магию крови и демонический огонь. Самым известным и первым из магов крови стал Кельтас Солнечный Скиталец. Мы храним ему верность.;;;;;;;;;;;;;x
#Описание лидера сообщества;;;;;;;;;;;;;;
blood_staff_leader_desc;Великий Магистр Крови. Сильнейший маг. Он уничтожит мир за Кельталас. Величайший защитник Кельталаса.;;;;;;;;;;;;;x
#Описания рангов сообщества;;;;;;;;;;;;;;
blood_staff_rank_1_female;Ученик;;;;;;;;;;;;;x
blood_staff_rank_2_female;Маг;;;;;;;;;;;;;x
blood_staff_rank_3_female;Высший Маг;;;;;;;;;;;;;x
blood_staff_rank_4_female;Архимаг;;;;;;;;;;;;;x
blood_staff_rank_5_female;Великий Магистр;;;;;;;;;;;;;x
blood_staff_rank_1_male;Ученик;;;;;;;;;;;;;x
blood_staff_rank_2_male;Маг;;;;;;;;;;;;;x
blood_staff_rank_3_male;Высший Маг;;;;;;;;;;;;;x
blood_staff_rank_4_male;Архимаг;;;;;;;;;;;;;x
blood_staff_rank_5_male;Великий Магистр;;;;;;;;;;;;;x
#Название валюты сообщества;;;;;;;;;;;;;;
blood_staff_currency;Жизненная Энергия;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank1;Нужно потратить 750 §YЖизненной Энергии§! и ты станешь Магом.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank2;Нужно потратить 1000 §YЖизненной Энергии§! и ты станешь Высшим Магом.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank3;Нужно потратить 2000 §YЖизненной Энергии§! и ты станешь Архимагом.;;;;;;;;;;;;;x
GetBloodStaffRankUpTooltip_Standard_Rank4;Нужно потратить 3500 §YЖизненной Энергии§! и ты станешь Великим Магистром.;;;;;;;;;;;;;x
#The localization for the currency gain;;;;;;;;;;;;;;
society_gain_blood_staff_tooltip;Это эльф: §G+10.0§!;;;;;;;;;x # §G mean green;;;;
# Квесты;;;;;;;;;;;;;;
quest_blood_staff_induct_child;Пригласить Потомка;;;;;;;;;;;;;x
quest_blood_staff_induct_child_desc;Ваш организм обладает очень хорошей близостью к магии крови. Вероятно ваши потомки также станут великими магами крови. Выберите одного из них.;;;;;;;;;;;;;x
quest_blood_staff_induct_child_tooltip;Для выполнения этой миссии вам необходимо § Gправый клик§! На портрете цели и выберите §YПригласить§! их.;;;;;;;;;;;;;x
quest_blood_staff_intrigue_focus;Сфокусироваться на Интригах;;;;;;;;;;;;;x
